airline,title,status,relevance,origins,destinations,booking_period,travel_period,first_seen,last_changed,url,summary
ANA,北京-东京羽田航线限时促销！ 覆盖红叶季、圣诞节、新年！,ACTIVE,high,北京,日本,"销售至2024年8月13日 旅行期间：2024年9月1日至12月20日 *部分日期除外 from USD1,000 from CNY1,400 检索航班","2024年9月1日至12月20日 *部分日期除外 from USD1,000 from CNY1,400 检索航班",2026-09-21,2026-09-21,https://aswbe-i.ana.co.jp/international_asw/pages/revenue/search/roundtrip/search_roundtrip_input.xhtml?CONNECTION_KIND=CHN&LANG=cn&departureAirportCode:field=PEK&arrivalAirportCode:field=HND&adultCount=1&boardingClass=ECD&searchFlag=0&STATIC=STATIC,"NEW 限时特惠 经济舱 北京-东京羽田航线限时促销！ 覆盖红叶季、圣诞节、新年！ 销售期间：销售至2024年8月13日 旅行期间：2024年9月1日至12月20日 *部分日期除外 from USD1,000 from CNY1,400 检索航班"
ANA,北京、上海、广州、深圳、青岛出发 美西美东特价升级延长，错峰出行即刻启程！ 银联卡领券购票再享最高300元立减优惠！,ACTIVE,medium,上海、北京、广州、深圳,,"再享最高300元立减优惠！ 销售期间：销售至2024年8月31日 旅行期间：2024年9月1日至2024年9月27日 *部分日期除外 from USD1,000 from CNY3,200 详情请点击","即刻启程！ 银联卡领券购票再享最高300元立减优惠！ 销售期间：销售至2024年8月31日 旅行期间：2024年9月1日至2024年9月27日 *部分日期除外 from USD1,000 from C",2026-09-21,2026-09-21,https://www.ana.co.jp/zh/cn/plan-book/promotions/summer-us-special-fares-more-discount,"NEW 限时特惠 经济舱 北京、上海、广州、深圳、青岛出发 美西美东特价升级延长，错峰出行即刻启程！ 银联卡领券购票再享最高300元立减优惠！ 销售期间：销售至2024年8月31日 旅行期间：2024年9月1日至2024年9月27日 *部分日期除外 from USD1,000 from CNY3,200 详情请点击此处"
ANA,北京、上海出发 北美航线公务舱暑期限时好价！,ACTIVE,medium,上海、北京,,2025年6月3日至7月16日 旅行期限：2025年7月1日至7月30日 *购买期限为搭乘日14天前,2025年7月1日至7月30日 *购买期限为搭乘日14天前,2026-09-21,2026-09-21,https://aswbe.ana.co.jp/webapps/reservation/flight-search?CONNECTION_KIND=CHN&LANG=cn,"北京、上海出发 北美航线公务舱暑期限时好价！ ・北京首都出发：洛杉矶、旧金山、西雅图、纽约、温哥华航线，公务舱往返23,300元起 ・上海出发：洛杉矶、旧金山、西雅图、纽约航线，公务舱往返28,600元起 限时销售：2025年6月3日至7月16日 旅行期限：2025年7月1日至7月30日 *购买期限为搭乘日14天前。 查询航班、购买机票！ * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布。敬请期待！"
ANA,北京首都、上海浦东、广州出发 北美航线特价促销！,ACTIVE,medium,上海、北京、广州,,单程特价,日14天前,2026-09-21,2026-09-21,https://www.ana.co.jp/zh/cn/plan-book/promotions/us-ca-special-fares-2026,北京首都、上海浦东、广州出发 北美航线特价促销！ *购买期限为搭乘日14天前。 *部分日期除外。 *北京-西雅图、温哥华航线，上海浦东-休斯敦航线，广州-西雅图、温哥华航线仅销售单程特价。 查看详情 * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布。敬请期待！
ANA,广州航线通航20周年庆特惠,ACTIVE,high,广州,日本,"2025年4月23日至4月30日 ・适用航线：广州出发飞往日本国内各城市 ・旅行日期：2025年5月10日至7月10日 880元 起 3,620元 起 查询航班、购买机票！ * 2023年全日空中国地","航线：广州出发飞往日本国内各城市 ・旅行日期：2025年5月10日至7月10日 880元 起 3,620元 起 查询航班、购买机票！ * 2023年全日空中国地区官网11.11促销活动的详细信息，将于",2026-09-21,2026-09-21,https://aswbe.ana.co.jp/webapps/reservation/flight-search?CONNECTION_KIND=CHN&LANG=cn&origin=CAN&destination=HND,"广州航线通航20周年庆特惠 ・限时销售：2025年4月23日至4月30日 ・适用航线：广州出发飞往日本国内各城市 ・旅行日期：2025年5月10日至7月10日 880元 起 3,620元 起 查询航班、购买机票！ * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布。敬请期待！"
ANA,日本国内航线特惠价格促销中！ 轻松飞往日本各地！,ACTIVE,medium,,日本,"2024年12月10日至2024年12月16日 旅行期间：2025年1月6日至2025年6月30日 *部分日期除外 from USD1,000 from CNY270 详细信息 详细信息 检索航班 f","2025年1月6日至2025年6月30日 *部分日期除外 from USD1,000 from CNY270 详细信息 详细信息 检索航班 from USD1,000 详情请点击此处",2026-09-21,2026-09-21,https://www.ana.co.jp/zh/cn/plan-book/promotions/special-fares,"经济舱 日本国内航线特惠价格促销中！ 轻松飞往日本各地！ 销售期间：2024年12月10日至2024年12月16日 旅行期间：2025年1月6日至2025年6月30日 *部分日期除外 from USD1,000 from CNY270 详细信息 详细信息 检索航班 from USD1,000 详情请点击此处"
ANA,"美国（含夏威夷）、加拿大单程、往返机票特价 单程3,000元起、往返3,500元起！",ACTIVE,medium,,日本,"至2025年3月31日，旅行日期至2025年6月30日 ・覆盖圣诞节、元旦、寒假、春节、清明节、端午节 ・在日本，往返可各免费停留一次 ・出发当天可订 3,000元 起 2,900元 起 详细信息 *","至2025年6月30日 ・覆盖圣诞节、元旦、寒假、春节、清明节、端午节 ・在日本，往返可各免费停留一次 ・出发当天可订 3,000元 起 2,900元 起 详细信息 * 2023年全日空中国地区官网1",2026-09-21,2026-09-21,https://www.ana.co.jp/zh/cn/plan-book/promotions/us-ca-special-fares,"美国（含夏威夷）、加拿大单程、往返机票特价 单程3,000元起、往返3,500元起！ ・销售至2025年3月31日，旅行日期至2025年6月30日 ・覆盖圣诞节、元旦、寒假、春节、清明节、端午节 ・在日本，往返可各免费停留一次 ・出发当天可订 3,000元 起 2,900元 起 详细信息 * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布。敬请期待！"
ANA,联程购买ANA中国大陆出发经东京/大阪转机 飞往日本国内其他城市的机票 日本国内转机航段票价免费！,ACTIVE,high,上海、杭州、北京、广州、深圳、中国大陆,日本,,"航线：北京、上海、广州、深圳、大连、青岛、杭州航线 780元 起 2,900元 起 详细信息 * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布",2026-09-21,2026-09-21,https://www.ana.co.jp/zh/cn/plan-book/promotions/japan-domestic-flight-transfer,"联程购买ANA中国大陆出发经东京/大阪转机 飞往日本国内其他城市的机票 日本国内转机航段票价免费！ 适用航线：北京、上海、广州、深圳、大连、青岛、杭州航线 780元 起 2,900元 起 详细信息 * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布。敬请期待！"
Air China,2026添次良积第三季,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=239684767616&channelCode=3&channelTag=null,“优惠券+里程”送不停
Air China,2026版双城次卡,ACTIVE,low,,,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=223376278656&channelCode=3&channelTag=null,畅行无忧
Air China,国航同行惠,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=208334705792&channelCode=3&channelTag=null,结伴畅飞专享特惠
Air China,庆祝北京-马德里直飞航线20周年,ACTIVE,medium,北京,,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=248026285952&channelCode=3&channelTag=null,国航旅客专享马德里目的地礼遇
AirAsia,"Celebrate the World’s Best with AirAsia - Enjoy up to 27% Off* All Seats, All Flights",ACTIVE,high,上海,东南亚,,,2026-09-21,2026-09-21,https://newsroom.airasia.com/news/celebrate-the-worlds-best-with-airasia-enjoy-up-to-27-off-all-seats-all-flights,"Celebrate the World’s Best with AirAsia - Enjoy up to 27% Off* All Seats, All Flights AirAsia is celebrating its 17th consecutive win as the World’s Best Low-Cost Airline - a milestone shaped by the millions of guests who continue to choose us for their journeys. To mark the occasion, enjoy up to 27% off* on all seats, all flights, and make your next adventure even more rewarding with AirAsia. Read More Airlines , English , Global , Malaysia , News Sammy YE September 19, 2026 Sepang"
AirAsia,与亚航一同庆祝‘世界最佳’殊荣 - 所有航班，所有机位享有高达27%折扣*,ACTIVE,medium,,东南亚,,,2026-09-21,2026-09-21,https://newsroom.airasia.com/news/celebrate-the-worlds-best-with-airasia-enjoy-up-to-27-off-all-seats-all-flights-sc,"与亚航一同庆祝‘世界最佳’殊荣 - 所有航班，所有机位享有高达27%折扣* 亚航连续17年荣获‘世界最佳低成本航空公司’殊荣，这份肯定源自全球数百万旅客持续的信赖与选择。为庆祝这一重要里程碑，亚航推出高达27%*的优惠，所有座位、所有航班均可享折扣，邀您一同开启下一段精彩旅程。 Read More Airlines , News , Malaysia , 简体中文 Sammy YE September 19, 2026 Sepang"
JAL,Hawaii Anniversary Trip,ACTIVE,medium,,日本,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/campaign/hawaii-anniversary?cp=inter,Hawaii Anniversary Trip 期間：2025年3月5日（水）～2027年3月31日（水） ホテル・レンタカーの割引やアクティビティの特別プランなど、お祝い特典をご用意しました！ 対象：東京（羽田・成田）/大阪（関西）/名古屋（中部）－ホノルル線のJAL便名 JAL運航便をご利用のJMB会員のお客さま
JAL,もっと！海外へ 総額570万マイル プレゼントキャンペーン,ACTIVE,medium,,日本,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/recommend/motto-kaigai?cp=inter,もっと！海外へ 総額570万マイル プレゼントキャンペーン 期間：2026年6月30日（火）～2027年1月5日（火）23:59まで キャンペーンページからエントリーしたお客さまの中から抽選で総計66名様にマイルをプレゼント！ 対象：JMB日本地区会員のお客さま
JAL,グアム線55周年 オリジナル特典キャンペーン,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/route/gum?cp=inter,グアム線55周年 オリジナル特典キャンペーン 期間：2025年9月25日（木）～2026年9月25日（金） ホテルやアクティビティ、レンタカーなどで、おトクで贅沢に楽しめる特典をご用意しました！ 対象：東京（成田）－グアム線のJAL便名 JAL運航便をご利用の対象のお客さま
JAL,ジャカルタ線 サーフボードお預かり無料キャンペーン,ACTIVE,medium,,日本,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/baggage/jkt_surfboard?cp=inter,ジャカルタ線 サーフボードお預かり無料キャンペーン 対象搭乗期間：2026年4月1日（水）～2027年3月31日（水）（ご搭乗日） キャンペーン期間中に東京（成田）－ジャカルタ線（JL725/726/729/720便）をご利用の場合、サーフボード用品を無料でお預けいただけます。 対象：特典航空券を含む、日本発JAL国際線対象路線の航空券を購入されたお客さま
JAL,ツアーでつかっておトクなチャンス！e JALポイント還元キャンペーン,ACTIVE,general,,,,代金の決済時にe JALポイントをご利用の方から抽選で合計200名様にe JALポイントをプレゼント！,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/tour/ejal-kangencpn?cp=inter,ツアーでつかっておトクなチャンス！e JALポイント還元キャンペーン 予約・応募受付期間：2026年8月20日（木）～9月30日（水） 対象のお客さま：キャンペーンの予約期間中、対象の商品・出発期間でご出発された参加代表者様（海外ツアーは、お客さま1の方） 概要：旅行代金の決済時にe JALポイントをご利用の方から抽選で合計200名様にe JALポイントをプレゼント！
JAL,搭乗＆宿泊キャンペーン実施中,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/recommend/southeast-asia?cp=inter,"搭乗＆宿泊キャンペーン実施中 期間：2026年9月30日（水）チェックアウト分まで 5つ星ホテル""ホテルニッコーサイゴン""で宿泊特典をプレゼント！ 対象：JALビジネスクラスへのご搭乗×ホテルニッコーサイゴンへご宿泊されるお客さま"
JAL,海外週末旅 シンガポールで使える！割引特典キャンペーン,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/recommend/weekend-trip?cp=inter,海外週末旅 シンガポールで使える！割引特典キャンペーン 期間：即日～2027年7月7日（水）まで Scentopiaでのオリジナル香水作り20％割引や店舗商品25％割引などの特典をご提供！ 対象：シンガポール発着のJAL運航便をご利用のお客さま
Scoot,Travel Deals under $200 ZH,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://www.flyscoot.com/flights/en-sg/scoot-travel-deals?utm_source=website&utm_medium=homepage_promo_tile&utm_campaign=scoot_travel_deals,
Scoot,自由而飞,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://www.flyscoot.com/zh/krisflyer/spontaneous-escapes,立即兑换，即可享受酷航精选 Saver 奖励机票八五折优惠。
Singapore Airlines,Discounts on Additional Baggage Allowance,ACTIVE,general,,,", depending on membership tier and time of purchase",,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/home,"Discounts on Additional Baggage Allowance Enjoy at least 15% off additional baggage allowance purchases via Manage booking , depending on membership tier and time of purchase. Baggage discounts by tier"
Singapore Airlines,Kris+,ACTIVE,medium,广州,,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/ppsclub-krisflyer/use-miles/krisplus,"Kris+ Get instant access to the wide range of complimentary member privileges on Kris+，from 1-for-1 meals to exclusive shopping discounts. Kris+ makes it easy to +more rewards, +more miles and +more smiles with your everyday spend! KrisFlyer members can earn 1 Elite mile for every SGD 1 spent with Kris+. Learn more"
Singapore Airlines,KrisFlyer Milestone Rewards,ACTIVE,high,广州,东南亚,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/ppsclub-krisflyer/krisflyer/krisflyer-milestone-rewards,"KrisFlyer Milestone Rewards KrisFlyer members can earn Elite miles through Singapore Airlines and Scoot flights or purchases from Kris+, KrisShop, and Pelago. Earning Elite miles entitles you to rewards when you reach specific milestones. Learn more"
Singapore Airlines,KrisFlyer Promotions,ACTIVE,high,中国大陆,东南亚,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/plan-travel/promotions/kf-promotions,"KrisFlyer Promotions Singapore Airlines, in collaboration with numerous partners in Mainland China, not only offers standard benefits but also periodic KrisFlyer promotions, handpicking exclusive privileges to enhance your miles experience. If you reside in other country/region, please click here to explore more KrisFlyer promotions. KrisFlyer promotions in Mainland China"
Singapore Airlines,KrisFlyer Spontaneous Escapes,ACTIVE,medium,,东南亚,your trip to enjoy 30% off Saver award rates to selected destinations across the Singapore Airlines,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/plan-travel/promotions/global/kf/kf-promo/kfescapes,KrisFlyer Spontaneous Escapes Book your trip to enjoy 30% off Saver award rates to selected destinations across the Singapore Airlines network. Simply redeem your flights on singaporeair.com or the SingaporeAir mobile app. Learn more
Singapore Airlines,Maximise your miles this September with Miles Paradise,ACTIVE,general,,,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/sg/ppsclub-krisflyer/kf-miles-paradise,"Maximise your miles this September with Miles Paradise Turn your KrisFlyer miles into extraordinary rewards when you travel, play, shop and dine. Stretch your miles further with our curated range of redemption offers, available for a limited time this September only. Get up to 15% off flight redemptions , 20% sitewide discounts on KrisShop and Pelago , and more! Uncover a paradise of rewards"
Singapore Airlines,More Flight Options for the GBA,ACTIVE,high,广州、深圳、中国大陆,东南亚,,from the GBA ports to the SkyPier Terminal at Hong Kong International Airport,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/hk/plan-travel/local-promotions/travel-in-the-greater-bay-area,"More Flight Options for the GBA We offer frequent services between Singapore and Guangzhou, Shenzhen and Hong Kong in the Greater Bay Area (GBA). Customers departing from Mainland China have the option of using the convenient sea-to-air transfer ferry service to travel from the GBA ports to the SkyPier Terminal at Hong Kong International Airport. More flight options, more fare promotions. Learn more"
Singapore Airlines,Student Privileges,ACTIVE,medium,广州,,student fare tickets for a maximum stay of 12 months,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/ppsclub-krisflyer/krisflyer/krisflyer-students,"Student Privileges If you are currently enrolled at an eligible college or university, you can enjoy special benefits during your studies. Get up to 50kg of checked baggage, enjoy exclusive discounts, and more when you fly with us. You can book student fare tickets for a maximum stay of 12 months. Learn more"
Singapore Airlines,WMP Exclusive Promotions,ACTIVE,medium,广州,,,,2026-09-21,2026-09-21,https://www.singaporeair.com/content/dam/sia/web-assets/images/local/cn/wmp-monthly/WMP_HomePage_SAA_white_2024.png,WMP Exclusive Promotions Our WeChat Mini Program (WMP) brings travelers more savings and convenience every month with a variety of promotional activities and exclusive vouchers. A simple tap is all it takes to set off on your journey! Scan now to follow and enjoy smarter travel. Learn more
Vietnam Airlines,Group Travel Deals - Exclusive discounts of up to 15% for groups,ACTIVE,general,,,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/zh-cn/nhom-lon-gia-nho-online-vietnam-airlines,
Vietnam Airlines,LotuSociates - 国内及国际航班最高可享10%优惠,ACTIVE,general,,,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/cn/zh/plan-book/LotuSociety/lotusociates-offers,
Vietnam Airlines,LotuStudents - 专为学生打造的超值优惠之选,ACTIVE,general,,,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/cn/zh/plan-book/LotuSociety/lotustudents-offers,
Vietnam Airlines,LotusYouth - 为年轻旅客量身定制专属优惠，开启探索世界之旅,ACTIVE,general,,,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/cn/zh/plan-book/LotuSociety/lotusyouth-offers,
Vietnam Airlines,会员等级礼遇 - 银卡及以上会员专属优惠,ACTIVE,general,,,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/zh-cn/lotusmiles-offers,
Vietnam Airlines,早鸟优惠 - 提前预订，最高可享15%折扣,ACTIVE,general,,,2026-04-30 至 2026-12-30,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/zh-cn/early-bird-specials-vietnam-airlines,
