航空公司,促销标题,状态,优惠力度,优惠亮点,相关度,出发地,目的地,是否有明确价格,是否通知,判断原因,预订日期,旅行日期,首次发现时间,最后更新时间,官方链接,摘要
ANA,联程购买ANA中国大陆出发经东京/大阪转机 飞往日本国内其他城市的机票 日本国内转机航段票价免费！,ACTIVE,GREAT,含免费航段/机票权益；公布明确价格,LOW,,日本,是,否,无中国大陆核心或次级出发地 + 日本目的地 + 明确促销价格,,"航线：北京、上海、广州、深圳、大连、青岛、杭州航线 780元 起 2,900元 起 详细信息 * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布",2026-09-21,2026-09-21,https://www.ana.co.jp/zh/cn/plan-book/promotions/japan-domestic-flight-transfer,"联程购买ANA中国大陆出发经东京/大阪转机 飞往日本国内其他城市的机票 日本国内转机航段票价免费！ 适用航线：北京、上海、广州、深圳、大连、青岛、杭州航线 780元 起 2,900元 起 详细信息 * 2023年全日空中国地区官网11.11促销活动的详细信息，将于2023年11月6日在本网站公布。敬请期待！"
AirAsia,与亚航一同庆祝‘世界最佳’殊荣 - 所有航班，所有机位享有高达27%折扣*,ACTIVE,GREAT,最高27%优惠,LOW,,东南亚,否,否,无中国大陆核心或次级出发地 + 东南亚目的地 + 明确促销活动,,,2026-09-21,2026-09-21,https://newsroom.airasia.com/news/celebrate-the-worlds-best-with-airasia-enjoy-up-to-27-off-all-seats-all-flights-sc,"与亚航一同庆祝‘世界最佳’殊荣 - 所有航班，所有机位享有高达27%折扣* 亚航连续17年荣获‘世界最佳低成本航空公司’殊荣，这份肯定源自全球数百万旅客持续的信赖与选择。为庆祝这一重要里程碑，亚航推出高达27%*的优惠，所有座位、所有航班均可享折扣，邀您一同开启下一段精彩旅程。 Read More Airlines , News , Malaysia , 简体中文 Sammy YE September 19, 2026 Sepang"
Singapore Airlines,KrisFlyer Spontaneous Escapes,ACTIVE,GREAT,最高30%优惠,LOW,,东南亚,否,否,无中国大陆核心或次级出发地 + 东南亚目的地 + 明确促销活动,your trip to enjoy 30% off Saver award rates to selected destinations across the Singapore Airlines,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/plan-travel/promotions/global/kf/kf-promo/kfescapes,KrisFlyer Spontaneous Escapes Book your trip to enjoy 30% off Saver award rates to selected destinations across the Singapore Airlines network. Simply redeem your flights on singaporeair.com or the SingaporeAir mobile app. Learn more
Singapore Airlines,Discounts on Additional Baggage Allowance,ACTIVE,GREAT,最高15%优惠,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销活动,", depending on membership tier and time of purchase",,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/home,"Discounts on Additional Baggage Allowance Enjoy at least 15% off additional baggage allowance purchases via Manage booking , depending on membership tier and time of purchase. Baggage discounts by tier"
Singapore Airlines,Maximise your miles this September with Miles Paradise,ACTIVE,GREAT,最高20%优惠,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销活动,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/sg/ppsclub-krisflyer/kf-miles-paradise,"Maximise your miles this September with Miles Paradise Turn your KrisFlyer miles into extraordinary rewards when you travel, play, shop and dine. Stretch your miles further with our curated range of redemption offers, available for a limited time this September only. Get up to 15% off flight redemptions , 20% sitewide discounts on KrisShop and Pelago , and more! Uncover a paradise of rewards"
Vietnam Airlines,Group Travel Deals - Exclusive discounts of up to 15% for groups,ACTIVE,GREAT,最高15%优惠,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/zh-cn/nhom-lon-gia-nho-online-vietnam-airlines,
Vietnam Airlines,早鸟优惠 - 提前预订，最高可享15%折扣,ACTIVE,GREAT,最高15%优惠,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销活动,2026-04-30 至 2026-12-30,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/zh-cn/early-bird-specials-vietnam-airlines,
Scoot,Travel Deals under $200 ZH,ACTIVE,GOOD,公布明确价格,LOW,,,是,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销价格,,,2026-09-21,2026-09-21,https://www.flyscoot.com/flights/en-sg/scoot-travel-deals?utm_source=website&utm_medium=homepage_promo_tile&utm_campaign=scoot_travel_deals,
Singapore Airlines,Kris+,ACTIVE,GOOD,公布明确价格,LOW,,,是,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销价格,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/ppsclub-krisflyer/use-miles/krisplus,"Kris+ Get instant access to the wide range of complimentary member privileges on Kris+，from 1-for-1 meals to exclusive shopping discounts. Kris+ makes it easy to +more rewards, +more miles and +more smiles with your everyday spend! KrisFlyer members can earn 1 Elite mile for every SGD 1 spent with Kris+. Learn more"
Vietnam Airlines,LotuSociates - 国内及国际航班最高可享10%优惠,ACTIVE,GOOD,最高10%优惠,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销活动,2026-04-30 至 2026-12-31,,2026-09-21,2026-09-21,https://www.vietnamairlines.com/cn/zh/plan-book/LotuSociety/lotusociates-offers,
Air China,2026添次良积第三季,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=239684767616&channelCode=3&channelTag=null,“优惠券+里程”送不停
Air China,2026版双城次卡,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=223376278656&channelCode=3&channelTag=null,畅行无忧
Air China,国航同行惠,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 明确促销活动,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=208334705792&channelCode=3&channelTag=null,结伴畅飞专享特惠
Air China,庆祝北京-马德里直飞航线20周年,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://act.airchina.com.cn/?activityCode=248026285952&channelCode=3&channelTag=null,国航旅客专享马德里目的地礼遇
AirAsia,"AirAsia Celebrates 17 Years as World's Best Low-Cost Airline with ‘Flight Lotto’ Campaign to Win 17 Months, 17 Trips of Free Travel for 17 winners",ACTIVE,NORMAL,,LOW,,东南亚,否,否,无中国大陆核心或次级出发地 + 东南亚目的地 + 无明确价格或促销,into an exciting chance to win an unbelievable prize: 17 Winners • 17 Trips • 17 Months of free trav,for 17 winners AirAsia is celebrating an incredible milestone—winning the World’s Best Low-Cost Airl,2026-09-25,2026-09-25,https://newsroom.airasia.com/news/airasia-celebrates-17-years-as-worlds-best-low-cost-airline-with-flight-lotto-campaign-to-win-17-months-17-trips-of-free-travel-for-17-winners,"AirAsia Celebrates 17 Years as World's Best Low-Cost Airline with ‘Flight Lotto’ Campaign to Win 17 Months, 17 Trips of Free Travel for 17 winners AirAsia is celebrating an incredible milestone—winning the World’s Best Low-Cost Airline by Skytrax for the 17th consecutive year! To say a massive thank you to millions of guests for their loyalty, the airline is rolling out the ‘AirAsia Flight Lotto’ campaign, turning every flight booking into an exciting chance to win an unbelievable prize: 17 Winners • 17 Trips • 17 Months of free travel. Bookings are open now on AirAsia MOVE and all channels! Read More English , Thailand , News Preeyanij Gooltankjaroen September 25, 2026"
AirAsia,"AirAsia Gears Up for High Season with Major International Expansion, Offering Direct Flights from Don Mueang to 46 Cities Across 53 Routes",ACTIVE,NORMAL,,LOW,,东南亚,否,否,无中国大陆核心或次级出发地 + 东南亚目的地 + 仅境外航线变化 + 仅旺季扩张/运力 PR,,"demand during the year-end high season in the fourth quarter (October to December), offering direct",2026-09-22,2026-09-22,https://newsroom.airasia.com/news/airasia-gears-up-for-high-season-with-major-international-expansion,"AirAsia Gears Up for High Season with Major International Expansion, Offering Direct Flights from Don Mueang to 46 Cities Across 53 Routes Thai AirAsia (Flight Code: FD) and Thai AirAsia X (Flight Code: XJ) are gearing up to resume temporarily suspended international routes and increase flight frequencies across multiple destinations. This strategic expansion aims to accommodate the surging travel demand during the year-end high season in the fourth quarter (October to December), offering direct flights to up to 46 cities across 53 routes covering ASEAN and the broader Asian region. Read More English , News , Thailand Preeyanij Gooltankjaroen September 22, 2026"
JAL,Hawaii Anniversary Trip,ACTIVE,NORMAL,,LOW,,日本,否,否,无中国大陆核心或次级出发地 + 日本目的地 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/campaign/hawaii-anniversary?cp=inter,Hawaii Anniversary Trip 期間：2025年3月5日（水）～2027年3月31日（水） ホテル・レンタカーの割引やアクティビティの特別プランなど、お祝い特典をご用意しました！ 対象：東京（羽田・成田）/大阪（関西）/名古屋（中部）－ホノルル線のJAL便名 JAL運航便をご利用のJMB会員のお客さま
JAL,もっと！海外へ 総額570万マイル プレゼントキャンペーン,ACTIVE,NORMAL,,LOW,,日本,否,否,无中国大陆核心或次级出发地 + 日本目的地 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/recommend/motto-kaigai?cp=inter,もっと！海外へ 総額570万マイル プレゼントキャンペーン 期間：2026年6月30日（火）～2027年1月5日（火）23:59まで キャンペーンページからエントリーしたお客さまの中から抽選で総計66名様にマイルをプレゼント！ 対象：JMB日本地区会員のお客さま
JAL,グアム線55周年 オリジナル特典キャンペーン,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/route/gum?cp=inter,グアム線55周年 オリジナル特典キャンペーン 期間：2025年9月25日（木）～2026年9月25日（金） ホテルやアクティビティ、レンタカーなどで、おトクで贅沢に楽しめる特典をご用意しました！ 対象：東京（成田）－グアム線のJAL便名 JAL運航便をご利用の対象のお客さま
JAL,ジャカルタ線 サーフボードお預かり無料キャンペーン,ACTIVE,NORMAL,,LOW,,日本,否,否,无中国大陆核心或次级出发地 + 日本目的地 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/baggage/jkt_surfboard?cp=inter,ジャカルタ線 サーフボードお預かり無料キャンペーン 対象搭乗期間：2026年4月1日（水）～2027年3月31日（水）（ご搭乗日） キャンペーン期間中に東京（成田）－ジャカルタ線（JL725/726/729/720便）をご利用の場合、サーフボード用品を無料でお預けいただけます。 対象：特典航空券を含む、日本発JAL国際線対象路線の航空券を購入されたお客さま
JAL,ツアーでつかっておトクなチャンス！e JALポイント還元キャンペーン,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,代金の決済時にe JALポイントをご利用の方から抽選で合計200名様にe JALポイントをプレゼント！,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/tour/ejal-kangencpn?cp=inter,ツアーでつかっておトクなチャンス！e JALポイント還元キャンペーン 予約・応募受付期間：2026年8月20日（木）～9月30日（水） 対象のお客さま：キャンペーンの予約期間中、対象の商品・出発期間でご出発された参加代表者様（海外ツアーは、お客さま1の方） 概要：旅行代金の決済時にe JALポイントをご利用の方から抽選で合計200名様にe JALポイントをプレゼント！
JAL,搭乗＆宿泊キャンペーン実施中,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/recommend/southeast-asia?cp=inter,"搭乗＆宿泊キャンペーン実施中 期間：2026年9月30日（水）チェックアウト分まで 5つ星ホテル""ホテルニッコーサイゴン""で宿泊特典をプレゼント！ 対象：JALビジネスクラスへのご搭乗×ホテルニッコーサイゴンへご宿泊されるお客さま"
JAL,海外週末旅 シンガポールで使える！割引特典キャンペーン,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.jal.co.jp/jp/ja/inter/recommend/weekend-trip?cp=inter,海外週末旅 シンガポールで使える！割引特典キャンペーン 期間：即日～2027年7月7日（水）まで Scentopiaでのオリジナル香水作り20％割引や店舗商品25％割引などの特典をご提供！ 対象：シンガポール発着のJAL運航便をご利用のお客さま
Scoot,自由而飞,ACTIVE,NORMAL,,LOW,,,否,否,无中国大陆核心或次级出发地 + 无重点目的地区域 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.flyscoot.com/zh/krisflyer/spontaneous-escapes,立即兑换，即可享受酷航精选 Saver 奖励机票八五折优惠。
Singapore Airlines,KrisFlyer Milestone Rewards,ACTIVE,NORMAL,,LOW,,东南亚,否,否,无中国大陆核心或次级出发地 + 东南亚目的地 + 无明确价格或促销,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/ppsclub-krisflyer/krisflyer/krisflyer-milestone-rewards,"KrisFlyer Milestone Rewards KrisFlyer members can earn Elite miles through Singapore Airlines and Scoot flights or purchases from Kris+, KrisShop, and Pelago. Earning Elite miles entitles you to rewards when you reach specific milestones. Learn more"
Singapore Airlines,KrisFlyer Promotions,ACTIVE,NORMAL,,LOW,,东南亚,否,否,无中国大陆核心或次级出发地 + 东南亚目的地 + 明确促销活动,,,2026-09-21,2026-09-21,https://www.singaporeair.com/en_UK/cn/plan-travel/promotions/kf-promotions,"KrisFlyer Promotions Singapore Airlines, in collaboration with numerous partners in Mainland China, not only offers standard benefits but also periodic KrisFlyer promotions, handpicking exclusive privileges to enhance your miles experience. If you reside in other country/region, please click here to explore more KrisFlyer promotions. KrisFlyer promotions in Mainland China"
